ctrb,spk_freq,channel
1.5209595164917145,14.58,64
1.3439783785532695,0.5666666666666667,62
1.2921859683649144,72.14666666666666,24
1.281426736866421,0.11666666666666667,46
1.2748696517430618,27.22,67
1.2630736242614642,2.9833333333333334,58
1.2435861917919055,0.61,73
1.2376839876007448,3.43,28
1.1830050520856537,0.38333333333333336,36
1.1716644219217969,11.913333333333334,43
1.1346749485417336,5.906666666666666,33
1.121593488676042,0.31666666666666665,77
1.1029649774963195,6.633333333333334,35
1.1025975760184967,0.5633333333333334,54
1.078293471278501,1.2066666666666668,21
1.0758998640103916,0.15666666666666668,13
1.0604818697190055,26.31,53
1.0558132335550603,28.496666666666666,26
1.051220805144855,5.4366666666666665,48
1.0495316235490404,1.6566666666666667,76
1.0,0.016666666666666666,47
1.0,0.013333333333333334,45
1.0,0.006666666666666667,38
1.0,0.05333333333333334,37
1.0,0.0,27
1.0,0.0,17
1.0,0.06333333333333334,16
1.0,0.03666666666666667,25
1.0,0.0,15
1.0,0.0,14
1.0,0.0,34
1.0,0.023333333333333334,23
1.0,0.74,12
1.0,0.0,22
1.0,0.0,32
1.0,0.0,31
1.0,0.0,44
1.0,0.0,41
1.0,0.0,42
1.0,0.0,52
1.0,0.0,51
1.0,0.06666666666666667,61
1.0,0.0,71
1.0,0.0,63
1.0,0.0,72
1.0,0.0,82
1.0,0.0,83
1.0,0.0,74
1.0,0.043333333333333335,84
1.0,0.0,85
1.0,37.78333333333333,75
1.0,0.0,65
1.0,0.0,86
1.0,0.0,87
1.0,0.0,66
1.0,0.05,78
1.0,0.0,68
1.0,1.7966666666666666,55
1.0,0.0,56
1.0,0.0,57
